name,price,status,shipping,free_returns,items_sold
forPups Bully Sticks for Dogs (Per Pound) - Fully Organic - THICK Size,19995999,Brand New,0,False,
PETKIT AirClipper 5 in 1 Pet Grooming Vacuum Kit Dog Cat Hair Trimmer Cleaner,13999,Brand New,0,False,
"PETKIT Automatic Pet Feeder with Camera, WiFi Cat Dog Feeder with 2-Way Audio,3L",10008,Brand New,0,True,
"Mountains Dog Tags for Dogs, Camping Pet ID Tags, Hiking Custom Personalized",1399,Brand New,414,False,
"6 inch JUNIOR BULLY STICKS for dogs, Excellent Dog Chew and Treat  (15 pcs/pack)",2199,Brand New,0,False,171
Dog Skirt Pet Dress Cotton Small Dog Princess Dress Chihuahua Puppy Cat Clothes,196588,Brand New,0,False,
1x Pet Collar Fl*ea Ti*ck Treatment & Prevention Collar for Small Large Dog Cat,1646,Brand New,0,False,164
"NO DOG POOP - SMILE YOU'RE ON CAMERA  8""X12"" Plastic Coroplast Sign with Stake ",899,Brand New,0,True,1812
"Dog and Puppy Training Pads, X-Large 30x36 inches 150 Count Dog Pee Potty",5895,Brand New,0,False,1075
Adopt From Me ! Mega Neon Fly Ride MFR/NFR/FR ✨SAME DAY DELIVERY✨,29915999,Brand New,0,False,
"Up Country Dog Collar, Chevron Orange,  Adjustable Made In USA XS S M  XL XXL",23002600,Brand New,0,True,
Giant Dog Kennel Super Large,22000,Brand New,228,False,
"Eye Support for Dogs - Dog Supplements for Vision,  Eye Vitamins, Antioxidant",3699,Brand New,580,False,
Canine Pregnancy Test Strip Dog Cat Ovulation Test Chip Veterinary Breeding Kit,94936888,Brand New,0,False,
"Yak Cheese Puff & Chew, Interactive Chew Toy with 5 Chew Nuggets upto 60 lbs dog",2199,Brand New,0,True,
Zesty Paws Calming Bites for Dogs Behavior 90 Soft Chews Pet Treats Exp 12/2025,1395,Brand New,0,True,103
2 Pcs Cat Bells Dog Bell For Collar With Loud Crisp Sound Brass Pet Bells,1128,Brand New,0,False,
How Dogs Love Us: A Neuroscientist and His Adopted Dog Decode the Canin - GOOD,579,Pre-Owned,0,True,27
